LocationDescription,Condition,Visibility,Drifting,Region,RoadwayName,EncodedPolyline,LastUpdated
From Jct of Hwy 540 & 540A to Barrie Island - End of Hwy 540A,No Report,Good,No,NER - Gore Bay,540A,kbcwGd|wvNHny@DndAHv`ABdVGhEOtBm@bDaDdNe@rAyDhImBfG_AzDa@nCeAnMKlC[tHU|Ac@hAk@|@q@v@q@h@cCnAiCdAwDxAsA`@i@DaA?{Gu@iIC{@Hw@Vk@\y@jAMZ_@zAKzAA~CJxRBrP,2025-07-14T15:01:36+00:00
From East Jct of Hwy 540 & 540B to Town of Gore Bay East limits,No Report,Good,No,NER - Gore Bay,540B,mccwGrpgvNkOGyd@@k@Fe@PcRp`B|jAT,2025-07-14T15:01:36+00:00
"From Highway 6, Tehkummah to Jct of Hwy 542 & 551",No Report,Good,No,NER - Gore Bay,542,e_tuG~sisNCzDMdA[~@uAlB_CdCgVxWiNrOaAlAq@hAgDtGuAnC}@|AaAnA{@t@g@X}@XaALur@E_lACiDC}TFoADiAReAZgBhAcA`AiAdBuMbViC|Di@j@kAz@u@f@_ChA_Ap@u@^wBtAaCxBeAz@mBv@}IjB}Ad@k@Ta@HeDr@kCDqTAyCDgBZ_Ab@_@Vu@r@mAfBa@pAg@`CKjAGnB`@n~BD`ZCbBG|ASzA]xAi@rAo@fAsArA]TaA`@eANiAHyCD{H@{LCk`@wA_EAaDHiI`@}AZiAh@aAx@_ArAk@dAc@~A]rBKjBGnPAfISpDg@rC{@lBc@t@_Ax@_An@e@TeAViAFoUSiG@_ALiAb@aAn@w@|@[f@q@vAm@tBQnAKvACrEGzn@EdBK|AWzAQt@e@lAk@dAq@z@w@l@}@b@aATcAHeA?aFGmHAmKQgA@eAD_ATa@Xg@b@a@h@m@jAYfAQxAKrP?`FGrKBbBC`IE`|@BzJEtBEr@[dA]p@g@h@{C`B}AjBg@`A_@jA[nA[hB_@nCK|AAxA@|AN~AZdB^lAl@pAhDrEn@pAd@tAX~ANbBBdBB`IDbBLxARlAVbATp@`@|@z@jAr@j@xA~@lFrCxCvAdOxHdAt@bAbA|@hAbLpR`BbCl@l@x@h@|@\fCd@nG|@vU~BxBt@p@f@hApAj@hAj@dBTlANzAD|A?fBKrO@hEN`B`AxGLtDHpQC|AIvAQnAUdAm@bBQ\CZO@s@|@q@h@gExBaAl@y@`Aq@lAg@vA]|AQ~AGfBApBHh_@t@rqAPbZ?pEKfICbIHnE`@tLPfU?RR~[AhCFdDRlZJtRJpKt@|y@d@h{@HzAVnA^dAPVX^r@l@v@V|@F~`BPz@Pr@`@j@l@JPn@`BL|@HpA@pgBR|CPtA|@xFdA~HLx@h@dEb@jCfBjJ\pDDxAJxMAhDI|GKrBMdAyBlOoAfGkCfLSnAMnAEfAClEEzk@@lTKnbDgbBQaAF}@Lq@R{@b@eB~Am@nAa@nA]tAQ~AI|AAzOJvwAAfMO`XAjHL`qBUre@YtyAKdhAWteA@xVEx\Ddf@@bcAEzu@@lQChBKdBS|Ae@dB_@~@o@bAw@z@q@f@eAd@}@RoCFwUAsgAYi@AqJGqeBEiDCoMFm_BO}d@@sx@GyBP{@Xy@^s@f@q@p@k@v@g@~@c@dA_@|AUfAOlBGfCC`nA@pVAfOC|AOvBMx@e@hBg@hAk@~@u@t@w@j@_A`@aAPaADoNcAyEYmAA}n@`@uMNoAPmA\mAj@yCdBeAZ{AVuAHsBB_`@MwdAQ}LBki@G{_AEch@AkBL_ARiAp@oAvAq@bAg@nAoKl[g@fBiGpQw@fCkCbIg@nAUx@wHjUwBdGuK`\wAnEoBvFi@rAi@dAs@z@u@r@{@b@aAZsCP_V?gFDmDEiT@wDDmHGqP@,2025-07-14T15:01:36+00:00
From Nipissing to Bonfield,No Report,Good,No,NER - Mattawa,17,ixnyGdho}M@\h@jLfBta@f@xJF`Bf@pKP`Eb@rJx@dRZtG`@`JfBb`@d@xHf@bIr@hJjAdOhFhr@pFzs@rA~PbExi@JdAT|Cf@lHJ~BFjBDdB?x@@zBC|CIdEYvLGbBEdEMfFC`Bq@`[GtBMzCGfBKtBUfESnD[bEa@|EQ`BQfBUrBuA|KeAfHy@tE_AxEoA`GaBfImDlPa@nB_FrUsGf[sNjq@sGtZ}AnHqHx^iD`P_Hd\oH`^i@bCuChNa@hByEfUyAfHgBhIoBfJsCdNqCtM}@jEeA|EoCtMkCdMqBnJgBpImB~Ic@vBkDjPQv@wDnQiAxFQrAGj@CPQnBIhCOlKOnQK`L]j\S|VMjKIjII~IMrMGvDA|@ApAYlV[v[KbMK`LCz@OzOIzFiAjt@WzO_@fSIbESbKSzIAz@OdEeAjQ]fFa@dHgAvPUzD_@`Gi@bJm@hJa@rGShC]bE]tDs@rHcAnKm@lGaBtP_B|P_AtJeAnKS|BeBxPoArL{@`JUfCQ~A[lDaDj\qBbTa@rD_@hB]zAc@~BMx@Gn@In@oAfNq@rHc@vEM`ByAhPoArN]zBCTf@LNAVLTJrAr@xFfBrFdB|JxCz@R~@Xd@VRTR`@Ph@Hp@r@rHp@vGZdCVdBJj@X`Bd@bCZlAj@|B~A~FtAjFdD`MjDhMj@xBbAtDVnAH\J|@H~@Bl@BhA@~AErHAbEMtZO`\MjVClGCxIGtLCnI?dD@hBDlA\|ELlAjAfItIhk@V|AtApFX|@z@~Bf@nAn@pAhFvI~e@jw@vJ|OfG~JbAdBr@rAt@bB`AjCZ`ATv@r@xCZ|A\|BXvBN~AJnABt@HbBDzABrAArEE`DGnGUhQa@lZIpH@dCBrALjDXfH`@rJ^`Kb@hKVxG`@zJ^`K\fGf@dG\`CDf@h@~DXfB~M~{@PnAP|AFbAF|@Dz@r@x\L~GJhEJ~FHhD\pOl@lZR`JPlIPzIZjO\fRBjADlA^zRRxIRvKNvGVrMXxMNrHNdHHrC`@lI\`IHvA\zG~@lS^xHT~EB`@FnB?`@AnCCdAGfAG|@OjBUdBe@~Bi@zBqCvKgAfEs@fDWtAk@~DaAtH}@|GeA|HeA`IYdCmB`NsAtJa@pCm@lEK`ACv@C\MnC?~AHpFNfCl@~LpA|X`AnRN~AP|ArC`QfBpKpD|TlDbTfFt[bC`OjE|WlBzLtArIfDdSfCjN~AfJf@`Dj@nDrDbVzAlKXbCPbCJpCZdGPjCLnAJv@RvAb@dCdLph@Jt@fAtE`@pBb@fCTpB@PPdCJhCDbCFnAZ`MBzAN|DR|Df@nI\~FXhEdDdk@hBrZ`BtXl@jJj@hJhA~RFlAB`EA`BC`BOxCWlDWbCu@xEyAxGoA|FW~A[`CWpCQnCkDpoAY`JIhFCnIDx]DvBbA~SdAdU\~Gb@jJDzBBjCA`EKpEMfDM~EOnEQdEi@tGc@bD{B~PcAfIuAjKuAnKIt@OjAUdCIlAKpCC~AApA?vADjCd@hSVfLBhC?bEE`BIrBQnCKfAUrB]vBOx@]dBkDjOwBjJeG`XqAbGy@~DWjB[xCKzBCz@AxA@fBBvAXzEfAnP^hFNfBHt@RxALv@Lh@~@lFpAdGb@xB`BzHjBrJj@`D^~BNtA~@jJ|@zIdAnKbCvV~@rJdDt\p@zGFt@LzBFlAHvFHbI,2025-07-14T15:01:40+00:00
From Bonfield to Highway 17,No Report,Good,No,NER - Mattawa,531,kcfyGjgbbNWJsBZqFl@mBJoBAkKsB}@Y}@QgCEcZpCeJx@kAJoIc@oDgA_PeLoi@}_@uTgPeJyGc@IIG,2025-07-14T15:01:40+00:00
From Mattawa to Holden Generating Station,No Report,Good,No,NER - Mattawa,656,sh{yGbkr_N[ZyADuDxAaAReBFu@CaAM_AUaAe@_Am@_Ay@y@eAsEiIm@yAc@_Ba@eB[mBOuBq@}N_@oFaAaFi@oBs@iB}@_BcAuA_B{A{BkAoA_@oG_AmOs@}FXk@Vq@VkBbAaA^eAP_BDmLVoG?kCEaDGqAIi@Oa@K}E}AeCEqGHiIU,2025-07-14T15:01:40+00:00
"From Mattawa to Highway 63, Jocko Rivers",No Report,Good,No,NER - Mattawa,533,mgvyGfol_Nc@BcCN]Fa@He@R]Ri@`@MJ]^SZkG`KwDhGoDxFyBjD}IrLmLtOkI~KeB|BcQfU_AdAeA~@gBpAsDpCcA~@aAjAaKrNiAjAoA|@oAp@qAb@oBb@uEdAkA`@cAf@aAx@y@dAq@lAk@zAiAzD{@tDUfAmB~JQfAY|Ck@tKg@pHUzA[zAqAhEsIfU{DxKkUzm@uGrQsBbFq@fA_A`AcAv@eAp@_FfC}@j@u@t@q@lAmCdGi@pAkApDiAxJoE|_@{Dj[_Itp@sC`VqEt^iDzX]zBoAdF{@~Cib@l{AcC|I[zAWdBKhBAhBDhBRpBfCbR`BzLlCnTRlBV~EFrB@tBIjFuB~k@IhBEbC@fCLlGfCly@\hN@nBGhBCRQrAa@xAk@vAcAtBc@n@_AfAgAhAkAx@qAn@qARcDVcA`@_At@w@jAo@zAwAfEm@zAu@nA{@`AaAj@eA^cAl@_A|@_AjAaDdFy@p@}@\aAD[?g@Ay@Yu@_@{AwAuAaAc@MkCDs@Fm@Pm@f@k@v@i@`AeAhCk@v@u@h@y@V}@FeAAmC^aAX}@f@s@t@m@jAm@vAe@~AaAzEcFbXe@~AcFxMc@~@q@p@{@f@sE~A_Al@}@~@}CbEq@jAk@zAg@`Bc@lBm@vAm@zAyLnX}BtEcAfBkHxJmApAsAbA{E|Cw@v@o@bA}AbDq@jA{@~@cAp@}BbAs@d@i@t@a@jA[pAaA~Cq@zDe@rA?@q@dA_Ar@{BfAmBzAy@z@kBnCsBxBiCfBcC|Bw@jAkCbGoBpCkBvCKNeBrB_BzAw@X{@D}BCw@Ho@`@e@v@cAnEOr@e@~Ak@|As@vAmKrP_AxAs@bA{@|@cCvBsAvAwA|Ae@~@[pAO`BA`@EjAGvGCjDOfFMdBaAbE]`BShBGpBBzE?TPtFTvFNvBn@zEZ|AZvABNjAtGD\Jp@DrAAvAWvAe@pAo@dAy@x@aAj@cAPeAGmCs@}BqA_A[aAKeAJ}@R_A`@u@n@o@z@_@lAW|A{@dI[fBg@|Aq@xAy@vAsBdD}@fA{@x@eAj@iMpE_Bh@aANaAMy@q@{EuHm@}@q@o@y@[aAQkAKkAQsB[s@Ao@Ri@f@uAdBw@^y@BoBg@m@@k@Vi@n@_CrDq@n@y@`@{@T_A?y@Yy@g@_@OQGy@Ew@Jo@^k@v@uA~BwBtEo@n@K@k@H}@KuBgAsAcAm@Kq@DqB^gCXsBVs@^s@p@mCjDoBhCw@t@y@h@}@^{@h@w@t@cBpCu@v@{@l@aAb@YH{MjEa@D{I~@sCr@gAb@aAn@}GpF_FfDoQtJeCdAeAVg@D]@gAKeA]aAi@}@}@w@qAo@aB_@mBSyB?MEw@MwDQ}HI}DWiESeB]{Ai@uAo@kAu@gA{@y@aAk@eAa@gAQe@Aa@?o@DYBiAXeAd@aAv@{@bAy@pAcFpJWd@cAfBeA|A_FzFiAhAkA~@mFdDwAn@}HxCkWvJaJrDaGrDqA`AmAhAkArAw@fAaDlEaA|A_AdB_FfJy@lA_Az@gElCaAz@_ClCy@pAq@|Ai@bBq@zAsBbDiF`Hi@rA]|AK|@k@lFOhAQdA]~A}@pDs@jE[nCu@fE[pAg@z@}@fA{C`Cy@z@aD`Eq@fAsB|F[hAOnAIvMEzA]tDKtD@xDHzELrJPpDh@tHrAhIt@bEb@lCLdAf@bHf@|Cp@hDdBzF`BpEx@lCXvAh@pD^rAhCjFN\\z@ZbA~BpPFdERvAtCnHb@tAZ`DdBpEf@x@fBnAlFnAn@d@VzFf@fBlDt@bABf@@h@f@rB|DpA`HdEtF^dC`@vKxAjIVxHZv@|DfDr@dCW|Ca@fAgDtE}@tCc@~CFfDd@x@rCjBbDTV@jHvGBX`@hDVnHg@|CgEhDaOzFqHnFoAfCmCfKYhAkHhbAg@lEcAbDyCjD_LhDwGjI{CfEwFxHcOnSo@`Ag@hAqe@|kA_@zAStACLKfBAjIMnBWdBe@`Bo@vA{@jAaEjEyBjC{B~C{@vAgEhH}A`DcCvFk@`BqApEeAtE_B|HoI|]i@lBQd@qA`Dy@vA{BxC}JrJa_@j^yBlCuBlDy@~AcBjEoAlEc@hBqMll@iCnLmHr\cQdw@cMpk@gFjU{@hEGz@HzAHr@,2025-07-14T15:01:40+00:00
From Kiosk to Highway 17,No Report,Good,No,NER - Mattawa,630,_bixGf~m`N[Da@PwCP}@l@u@dAkAjBq@|AgCnLg@`F_CfFs@bAyK|MkBdDeAlCiA~D_@z@kBvHeAtDUzAu@zC{G|Ly@vB[zAWrDg@jOGtDEfAS|B}AhIe@dB_A|Bu@zA}@tAwCrDaExDeAlAoGhGcAj@aAX]DgK~@_B\kC`AcCdCy@fAu@tAs@|Ak@bB]|A[jBKlBQpACREfB_A|Uk@bFWpByAjIw@|DsClNgAjEeBxDqBtD_AtAs@`BsOx`@}@zCCFs@|Ai@r@O^iCpBkAh@mA`@mLb@wA?e[x@{BCkAW{@_@w@s@m@aAwAoCy@gAu@i@{A}@iG{CeCgBeAgAuW}ZcIkLCmAeAeAgAu@iAa@GCwCk@oDs@_H_BwLeCmACmAEqF\mD`@uA@aG\uAEuAUiDo@uC{@gAs@oF_F}@a@KEq@[q@}@q@mAo@yAcCuHwB{HwAuEaDkKo@{Aw@uAy@qA}@aAcAkAcGiGkAcAiAiAsB_C[WYc@aA}@gAs@eFgAoAEoAHmAXmAb@mAd@mAr@e@H{ChAq@PsARqADMCqFg@e\kEwAOqAEiAN}@VsDhB_CjAeA`@_AR{@?}@SoAOu@Sq@Aw@Fu@VeB|@sCn@oEvBoAVm@Do@Ek@]}BkCkAu@s@[sA_@}GiDiEu@cCu@{@e@s@{@i@cAgByFw@sAQMg@_@}@[w@IqDAwAKcB[u@c@m@o@e@_AkA{Cc@{AQoBIa@S{@c@wAGIe@aA{@eAiA{@}@[gAWeA?yB^gEtAcANi@BaBCqEy@iAYsFeBgK_EuA_@iAQuEY}@KgAUkCw@{@a@eA}@o@{@e@aA]iA}A{Gm@{Ag@gBoAyD{AgCw@a@}@QA?_AL{@\cEfBoAb@yAp@uCtAaAX_Ah@}@TiAh@w@b@yC|Cm@f@}Bp@yE`A}Bn@kOzGwDxAs@RgAJiAIgAWk@[WM}@w@w@eAk@yAiAiEcDeQaLwn@oKco@[{Ao@gB[k@q@{@u@m@{@c@_AW_AIcAB_AL}@ZyD~Awc@zRyr@jZkCdAeP`HoYlL}Ap@a@`@Wl@Cv@F|@NfAxDlUF|@Ev@Wh@c@\m@XwDbB_XxKkGlCiAf@mBx@uCnAsOrG}KxE}CrAy@h@YZwClGkDlH]dASjACfAp@pM@|@KzA[p@aBv@]PaAb@i@V_Bv@a@JE?gADgY}DiEgA]@QRUhAUl@_@d@_@TaA^yZbL,2025-07-14T15:01:40+00:00
From Sturgeon Falls to Highway 535 Hagar,No Report,Good,No,NER - Verner,17,ow~yGtiqfNJ`NFfCDpDNnQBbGA|IA|GGpOI~Z?dAAhEY`]Y`J[~HEfCCzGA^GbPAbGCdD?pDGvD?fGA|F?lECd@CTAtC@pAG|DBzAClDAtFC`GCdHArF?rCEhFGdQAjGGdOEbLG~CG|AMnBSxB_@~Ck@hDYnASz@Qj@k@lBmJjXeDrJoWfu@cK|YgBdFq@nBq@lBSn@_@z@kCvH}AnEaBzEe@vAcCbHu@lBe@~AsChIkBlF_BtEq@lBu@rBo@lBiE~Lo@jB_CzGoC`IsAxDeNv`@yDxKUl@i@~AmBrFeS|k@CJsHhToBxFcK|YiCrHgB~EsAzD_AtCoIhVwIvVkFpOw@zBgA|Ca@lA_CvGaArC_AxCc@vAs@vCKh@q@~DIp@[|CGv@K~ACp@Cj@C~ACpH?vR@`D?dJA|P?`K@|CA|C@bJ?vz@@hK?xJAfH?bZ@lB?|K@tJ?rSApJ@zM?l]@|I?lGEdCI|BEx@M`BIz@i@zEmNrjA}C`W}AbMmAdKq@rFo@vE}@xHeBjNeA|IkGfh@g]hsCgHfl@WpBWvBgMfeAmA~MiFno@_BbSy@`K_@xEmA`OaAzLmAxNm@pH{@`Kc@jF{@dLSxBq@jI]`Eo@`ISxBuCb^_B`S_@nHOzEEjBSlmBE|HQzHUtHWjFWzEc@lGkAjMkCbWiA|KoAbMmAjLs@vGSfBoEjc@IhAG|@MdDCtC@rC?|AAp@?fAC|AC|@IxAEn@QfBMlAOhAOlAWzAc@rB_@|A_@pAwAvFo@rCg@tCa@zCaIxv@sQzfBkAzKGr@SrBs@tGe@tEi@nF_A|Ig@`FW`CaArJeBvPUvBY~COjCWvFUrH]zKQbGQlDYbEg@|Gq@vImA~PKbCWrFSbFw@fQIxCCzC@d@BxALvC@b@r@jSLfINbh@G`IWxHOzCUxCs@lH]pCa@lCwHlc@[bBYrBOnACVM`BIzAClAE~C?`A@d@Bj@VtFl@pM`Bj]FjCEdCMhCYfCe@|BoAtEOh@gAbE_@|AYdBQ~AIdACv@C^AjA?jIA|p@EdCO`CSfBc@bCg@fBk@|AeRbc@q@bBw@jC]xAe@jCGF,2025-07-14T15:01:45+00:00
From Highway 69 to Highway 17,No Report,Good,No,NER - Verner,64,_ykxGdfjkNGsL?}JBoBCiB?aGBoCAsIGyBOyBWyBw@{E_DgMa@}BY{BQ{BQuF?oCPaFb@mFhA{LL_Cd@{Fl@aGNyBt@yIL}@l@sI@mJ?_KA{e@C_B@yk@?qXB}HA}FAiVFkENiDfAaKd@uDzBiOPoApCwSX_B`AeHbAmGXiA|DoPf@wCFyB@_DKwAo@iD{BgHc@oAWeAeAoDWmAMmAGqA?{AHyAP_BPw@b@cB~DcMt@{Bl@}BTgAVgBLaBEyEOyBQyA[_Bo@yB{@eB_AqAk@o@gFkG}B}CgBwC{CeGeAmC_@mAq@{CqBgN_@}CeAiHeDyOsD}OYyBI}B?{BN{Bt@kErJud@zDcR`@cC\eCf@sGHiCDqGK}oCCs|ABmd@?_\Kk|AWagA?q{@Oy{@Bkl@MwCYaCa@_Ca@_Be@mA}A{Bs@w@eBuAkB{@kBc@sCCOQmOAkTFqDJ}UF{i@JoLRcFC}BBwBDaHGiDG{BJ@cN@{JDwAMa^Jsd@IkIBwCMmb@YehBGaDuAwWgA{Qc@_F]yBm@oBw@eBq@cAq@q@o@i@eAk@{Aa@cEQ}PhA}AAuGb@e@HgGZcJNqDMcAEsAKgSiAyE]aCs@eAg@oB}A{@{@cAgBoAgCsE}NyCaKyAoEwCsJiW_z@sCmJ_@yAg@iC]yCSaCKeEGsgAA{e@HufCIcCWaCa@wBc@cByEyLcFyL}@gBeAsAiAaAqAq@qA_@uAQqDMoMJiAMsc@DmI?mCJo@EiWBoQ@{DCeHFa@?aEGmGB_l@UaEN{DXuEj@aD^}AFkC^cKhA{BLyAT{Gl@cRpBkDb@y@BwEh@y@HmANsKhAk@DsBT{AXqJjCaBj@wAd@_H~CgA`@eBh@oRnEiAVqD~@{Dj@aAB}I[kJg@oDW_Lc@eDe@yAg@oCmBkCyBsOmNeB{AiAy@mAo@aDm@sABsAReAZKBa]hMsA\oAPoABgASyA]mAk@wWsPqAq@sAg@uA_@wg@wKqA]qAc@kAu@kAaAgAkAyQyV{BqD{A}CmAgC_B}DgRcl@_Qqk@gSgq@Uy@k@oBKy@a@s@m@oBq@kB}@}ASUq@y@kAaAsAs@wA_@{AO}DAy_@Bcd@Ggd@?uDGyAQwAY_A]UIqAq@oA}@kAcAgAoAaAuA{@_BcKgUq@gBGWc@uAa@cBa@iCW{BM_CG_CCcCAiiBEe]IuDMqFwAwg@EiAKiGBmG`Cie@NuGBoGKux@CwYDykACkPMgG{@{TGuCQ}Be@uKWcCg@}Bs@qB}@cBiAuA}@w@kBcA{A_@}AM}M?kAGiBSuA_@uAg@_DgBkKwGsImF{DaCy@c@m@]aDuBiA]_@Ag@DkDxAoANs@E}@YYUy@aAQOm@UeA?uAAgQGiAAa@WOk@BkDC]Cc@Q_ASq@i@kAo@{@cAcAi@]aBi@u@IqD?eCKoRqCmf@sHiDUwACwAFoRfBsDRaCDqJDap@DkI?oBOeAYsAs@wAiAsAcBaAsBe@yA_@aB[_CQwDPce@d@eZHoF@sGa@qPEaFPyXKodA?kBIyCUaCQ_AO}@gAcDw@{A_AoA}@y@y@i@qBu@oCY}j@JsBCaBKsCe@aCo@_CcAsEcC_WmNwAk@yAa@{AYeDSiBByALyATaATmBp@sa@xPeCbA}CjAaBd@wAVgCVkHF{BG}HDyBGyD?k@DgCGqE@gYOmG?wBDqD?}@A{CD_HIsCo@,2025-07-14T15:01:45+00:00
From Verner to Field,No Report,Good,No,NER - Verner,575,_jhzG|abhNyKFqBS{@YuBgAu@q@q@s@sFaHs@o@wBmAaAWcAMaC?}@L{@VqBdA{DxCiBpA}@`@_AZ}@JcA@eAKeAYqDiBkj@yYiAo@cAu@g@o@SYs@yAqCqH{@qAcAaAiAo@qA[yGIuw@Q{E@mDLyCTiBTiBXoJnBcMjCsEx@kBNqEDmESeBWyZiGeCe@yEm@kBIqE?oFFe@?kDDqLL}OLaBAi@Gu@K_Bi@yA}@oAsAeAcBy@oBo@uB[_CScCGkOK{BYqBa@gBq@{A}@qAeAaAiAu@mA_@mAKcGCcTB{DU{AUoD{@yIwCsAWsAIsAHoATkKvDqA\qARoADsAKi]_HaGa@cER{Dv@kRdGaGfAqU^wGYuIoCgFsD{JuKoAwA_CqF}@cEc@oFoEgjAiBsWU__@IcOKmSo@gVAKoAcQ~@wQh@wJdFaO|C}L`EgHd@w@bAkGDcEcDmUVkUY{DcBiUs@wJOsAsDu[yDqKc@eETwE^}AlDyG\sAV_LKu@iAuHaAsBSe@qDkJ,2025-07-14T15:01:45+00:00
"From Highway 17, Sturgeon Falls to Highway 11, Marten River",No Report,Good,No,NER - Verner,64,gpazG~wzfNwMcBmAKkA@mALmA^eAp@{@fAiElI{@dAcAt@iAb@mAPmAB{a@JuMBqAHsA\qAl@kAz@cAjA_AxAqBlE{@`B}@tAeAdAe@ZgEtC}CjBmAj@qA\uAHuAEsAYsAe@oAw@gFyDmFiEmJeKkAy@oAq@wA]{AQu\?}AE{AUyAi@uAu@{b@yVuAq@wAc@{AU{AC{ANyA^}IrDqLzEsDrAcZpJuA^oDr@qFn@sCLuGAwNc@sGsAsAc@ed@oLuHeB_AUYAIAeJWyMKqH@kp@^wAFuARI@mA\qAp@kA~@cAlA_AxAuDzGoLjTeA`BmAtAsAdAyAp@{A`@{AJ{ACyAUwAg@mDeByAi@{A_@}AI}AHyA\wAf@qAx@kAhAcAxA}@`BiRz`@aExIGPmFnM{Yjt@_CnFeArBiAnBeTx\aAfB_ApB{@|Bs@`C{ApGa@nCqD|Yc@|Bq@vB{@lBKRwDzG}@hBq@tBi@~B_@dCeE~]a@hCSnB{@fH_@dCi@fC_BdGu@~ByBnF}H~P_AzB{@`CyEbOwAjGsAbO{AbGeDjKyGzQuJtWsAnDgD`GiJjMwKxSiDnH{DbHmDdBiCd@yBr@_I|Hs@sB_@cAy@_Ak@Fc@FMHuDpDiDnE{BfAyFiBaCI[HeCl@yD|Ca@f@k@p@}IxKuAbA}@x@mD`A}MJ}PKe@AkYsA_QGyk@QuFScCi@wCsA}C_Cuj@kr@qKaI_D{CyLgOe\id@mDyDmBwAiEaBwEc@ym@tCgE?aIu@mD]eRkBmOkBmo@F_EQWAwe@mIyBy@sJgGcBg@qES{FHqDp@oZjTmDpAqTrBkWaDwBWyDcBw[gVuJmPy@eB}AkGeAwEq@{B{IkV{@sBaAmB?Au^kp@k@cAaAkBu@sBm@}Bc@cCkC}Oc@aCk@{Bs@wBcIgVo@{Ba@_CCQQuBKoCeBym@MwBUwB[sBcAcF}F_Z_EoSc@oBo@iBy@_BaAyAu^wh@y@uAs@}Ac@iBWoBIsBSyIQ{DSaBS{@q@uBk@iAwJoOy@{AeHaRw@uA}@cBuGgJiEwFmDqEuEcGeA_B{@iBq@uBg@yBc@kCwMsv@i@aCu@uB}@qBQUy@kAsAuAwAgAcQ_KaHeEoEaCaAYgAMaAE{@D_Dj@aFpA]HWHoBXeAPyAFiBIsB_@KEiGqCkO{GmAm@mAw@kAeA_IcI}t@{u@mAuAiAyAsEaHkA}AmAwA}HmH_JaImEcEmB_CmAmBiA}By@sB_AmCsJs\aAiDiBuG{B{H_AyCaBoDiBiDs@qAkC_Fe@eAa@mAWwAQcBcBor@iCmr@KaCS}Bs@{Fc@{BsLok@_@wBWyBM{BGaC?eCJgCPgCn@oGNeCBeCCcCK}BUwB}@}Eg@eBQc@]}@oBcEwEcJaRq^y@sAkAoBkAuAqAmAqAeAuAy@wAq@a@Mw@W}A[_BQ_BIsCDsDb@yCp@}@LgGd@oC?aJc@uJa@{YcCuDm@uAi@mAy@iAgAkGmIcSiXeAk@o@e@m@{@]_AIy@A{B,2025-07-14T15:01:45+00:00
From Highway  64 - Noelville to River Valley,No Report,Good,No,NER - Verner,535,qnqxG~h|iNm@?cBCcD@aL@}bALaKF_LAgRMsc@Pc@@sC@wOHqkADaAAqs@A}rDR{VE{XdAk]hEyHr@yEJye@h@}E?uEQ}^oDs@?eCA_BLiBXyIjBsC\sAAqBMeCa@_Bg@sD_AmC{@mAWkBk@_FmAk@OcACaAJcBl@oBl@w@P{ABkEs@mCGcCb@_BNyAAyBYyGsAo@KoAE{CLcD\uBPcDDcH@IEqCDoDCsAF}D?eCCeKJ{CRcCh@iDz@iCf@iCJ_ACeE[{Dg@cCSqN}AsDMwJBuEP_BLqNnBkF|@qCX}ADqAEgBS_KcB_BQeCK{D^yDjA}A^mQrF}DdAcBl@sCv@mZ`J{AZiAJiBBsAMcA]kAa@aBaAqC}B{EcFuHoHkA{@_B_A}Am@gAWwBWwDKmDDk^GiT?u@DmAIwCD{HGmJDa_@Gw@DqBE}L@gYEg`@@iBEgGBaBEuBBmECaEDkEC{\?uACsAKmAWkAg@eAq@}@{@u@aAeAoBe@{Au@eDi@aEcAiI_@mEEgBBaBF_BLwAbAkHJ_B@gBDgZ?cAmF?oq@Dwd@AsjBBgn@NqU?{AA}o@@iGEuk@wEeNiAkDQqAPoA^kAt@cAdA{@nAkIpOyArBs@l@w@d@{@^y@PmBBaC[kB[uHmAmCw@qAk@mAy@iA_AsCyCsAiA{Aw@}Ac@_BUaBEg^?}AG}AQ}Ae@{Aq@{MgImFyCo@c@eBGaAOgCb@aAZ}@b@qBbB_BlB_@`AcAdFYZa@HyCEQCq@DcAIuCwAw@_@sAqA]KKBwA~AcAv@cHpG{AfAu@^gBj@u@JuADoBAaAQw@WkRmIqAa@}@WmH{AoBk@iAo@gAcAoEgFiAcAqAs@iFsBsNwESGiD_AoDk@mD[mDKkd@CsAJoARg@LyGhBeBl@yBnA_A|@qCjDcBhB_CrB{FlE_AdAcBhDkClGwAbEeArE]lBQlAKZuApHe@hBm@~AGNi@fAi@x@kArA{@t@}Ar@cEpA{DlAwEpAgANqADkF_A_Dg@SEmBk@uAeAKOuFiJaGcDcBeB_AkCe@wAmAmBkEeEwF{GsDyBaCOaAP}KrEsCD}MNuCO{R}CoDQsDpA_@Rg@ViGfD_JbBuCWqHeC_D[iM?yd@B,2025-07-14T15:01:45+00:00
